name|polygon
Luxembourg|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[5.67405195478, 49.4426671413], [6.24275109216, 49.4426671413], [6.24275109216, 50.1280516628], [5.67405195478, 50.1280516628], [5.67405195478, 49.4426671413]]]]}
Poland|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[14.0745211117, 49.0273953314], [24.0299857927, 49.0273953314], [24.0299857927, 54.8515359564], [14.0745211117, 54.8515359564], [14.0745211117, 49.0273953314]]]]}
Estonia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[23.3397953631, 57.4745283067], [28.1316992531, 57.4745283067], [28.1316992531, 59.6110903998], [23.3397953631, 59.6110903998], [23.3397953631, 57.4745283067]]]]}
Iceland|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-24.3261840479, 63.4963829617], [-13.609732225, 63.4963829617], [-13.609732225, 66.5267923041], [-24.3261840479, 66.5267923041], [-24.3261840479, 63.4963829617]]]]}
Armenia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[43.5827458026, 38.7412014837], [46.5057198423, 38.7412014837], [46.5057198423, 41.2481285671], [43.5827458026, 41.2481285671], [43.5827458026, 38.7412014837]]]]}
Albania|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[19.3044861183, 39.624997667], [21.0200403175, 39.624997667], [21.0200403175, 42.6882473822], [19.3044861183, 42.6882473822], [19.3044861183, 39.624997667]]]]}
Italy|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[6.7499552751, 36.619987291], [18.4802470232, 36.619987291], [18.4802470232, 47.1153931748], [6.7499552751, 47.1153931748], [6.7499552751, 36.619987291]]]]}
Austria|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[9.47996951665, 46.4318173285], [16.9796667823, 46.4318173285], [16.9796667823, 49.0390742051], [9.47996951665, 49.0390742051], [9.47996951665, 46.4318173285]]]]}
Azerbaijan|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[44.7939896991, 38.2703775091], [50.3928210793, 38.2703775091], [50.3928210793, 41.8606751572], [44.7939896991, 41.8606751572], [44.7939896991, 38.2703775091]]]]}
Ireland|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-9.97708574059, 51.6693012559], [-6.03298539878, 51.6693012559], [-6.03298539878, 55.1316222195], [-9.97708574059, 55.1316222195], [-9.97708574059, 51.6693012559]]]]}
Spain|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[-9.39288367353, 35.946850084], [3.03948408368, 35.946850084], [3.03948408368, 43.7483377142], [-9.39288367353, 43.7483377142], [-9.39288367353, 35.946850084]]]]}
Montenegro|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[18.45, 41.87755], [20.3398, 41.87755], [20.3398, 43.52384], [18.45, 43.52384], [18.45, 41.87755]]]]}
Moldova|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[26.6193367856, 45.4882831895], [30.0246586443, 45.4882831895], [30.0246586443, 48.4671194525], [26.6193367856, 48.4671194525], [26.6193367856, 45.4882831895]]]]}
Serbia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[18.82982, 42.2452243971], [22.9860185076, 42.2452243971], [22.9860185076, 46.1717298447], [18.82982, 46.1717298447], [18.82982, 42.2452243971]]]]}
Georgia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[39.9550085793, 41.0644446885], [46.6379081561, 41.0644446885], [46.6379081561, 43.553104153], [39.9550085793, 43.553104153], [39.9550085793, 41.0644446885]]]]}
Macedonia|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[20.46315, 40.8427269557], [22.9523771502, 40.8427269557], [22.9523771502, 42.3202595078], [20.46315, 42.3202595078], [20.46315, 40.8427269557]]]]}
Ukraine|{\"type\": \"MultiPolygon\", \"coordinates\": [[[[22.0856083513, 44.3614785833], [40.0807890155, 44.3614785833], [40.0807890155, 52.3350745713], [22.0856083513, 52.3350745713], [22.0856083513, 44.3614785833]]]]}
